类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现,基本面评分,估值评分,盈利能力评分,成长性评分,财务健康评分,股息评分,PE比率,PB比率,PS比率,净利润率%,ROE%,ROA%,营收增长%,盈利增长%,流动比率,债务股权比,股息收益率%,派息比率%
股票,AGIO,43.65,2.61,58.7,1.45,149,✅ 买入,否,19.0,3.0,0.0,6.0,8.0,2.0,,1.9807596,56.828335,,,,43.7,,13.82,3.466,0.0,0.0
股票,JNJ,195.93,0.35,69.3,1.17,149,✅ 买入,否,34.0,6.0,11.0,9.0,6.0,2.0,18.930433,5.9468236,5.1227164,27.259,33.619,8.264000000000001,6.800000000000001,91.0,1.074,57.766,265.0,49.080002
股票,CSCO,78.0,0.8,72.8,1.69,149,✅ 买入,否,24.0,3.0,9.0,6.0,5.0,1.0,30.115831,6.5828342,5.327519,17.902,22.418,6.644,7.5,6.0,0.927,59.926,210.0,62.93
股票,SENEB,121.5,2.38,78.3,2.11,149,✅ 买入,否,34.0,12.0,2.0,9.0,9.0,2.0,14.0787945,1.2384689,0.50979525,3.728,9.417,4.216,8.1,125.4,2.587,44.544,0.0,0.0
股票,KGC,25.44,-0.27,56.6,1.2,148,✅ 买入,否,43.0,7.0,12.0,12.0,10.0,2.0,17.79021,3.868613,4.8778234,27.3,24.81,14.245,25.8,66.0,2.83,15.57,55.00000000000001,8.3900005
股票,FANG,149.2,3.34,59.6,1.16,148,✅ 买入,否,33.0,11.0,8.0,9.0,3.0,2.0,10.484891,1.0950137,2.922851,28.688999999999997,10.901,5.1009998,42.0,10.0,0.623,35.66,268.0,27.389999999999997
股票,NMIH,37.58,0.97,55.2,0.84,148,✅ 买入,否,38.0,10.0,10.0,6.0,10.0,2.0,7.845512,1.1520541,4.173163,55.022997,16.173000000000002,9.187,7.6,6.1,2.218,16.92,0.0,0.0
股票,FRSH,12.11,1.68,64.0,1.53,147,✅ 买入,否,22.0,5.0,0.0,5.0,10.0,2.0,23.745098,4.00728,4.135925,,,,15.299999999999999,,2.267,4.659,0.0,0.0
股票,JBSS,68.51,0.97,61.3,0.63,147,✅ 买入,否,37.0,11.0,8.0,9.0,7.0,2.0,12.1903925,2.1987228,0.69892794,5.842,19.597,10.2,8.1,59.0,2.44,30.908,131.0,16.009999999999998
股票,HLNE,131.25,0.08,58.5,0.74,147,✅ 买入,否,37.0,3.0,12.0,11.0,9.0,2.0,23.691336,6.988074,9.978253,31.116,33.82,11.618,27.3,23.200000000000003,3.175,32.149,164.0,37.18
股票,ACTG,3.67,0.55,58.9,1.18,146,✅ 买入,否,26.0,8.0,0.0,6.0,10.0,2.0,61.166668,0.6585322,1.2467366,1.7029999,0.9820000000000001,0.617,155.0,,8.632,18.497,0.0,0.0
股票,KRP,13.79,0.88,64.2,1.26,145,✅ 买入,否,20.0,8.0,4.0,3.0,5.0,0.0,18.144737,2.3207674,4.62395,11.4870004,4.1199997,5.96,8.6,-13.600000000000001,5.422,57.748,1160.0,4300.0
股票,CME,285.04,0.53,72.8,1.8,144,✅ 买入,否,19.0,3.0,6.0,2.0,8.0,0.0,27.620157,3.6385455,16.097298,58.946997,13.346,1.601,-3.0,-0.4,1.021,13.372,175.0,103.67999999999999
